feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,gesture_label,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0734775,3.050856,3.004295,3.097793,2.4401777,1.4496468,2.3245492,1.6860824,2.2381785,2.2208893,0.24930955,0.39998427,0.20774904,0.17188933,0.14723207,0.0911561,0.35014397,0.17300314,0.13313167,0.10950849,0.20000692,0.21895072,0.15339783,-0.008297357,0.012525111,-0.049793545,-0.06250864,-0.05340649,-0.0130878445,-0.03867337,-0.043290295,-0.04100281,-0.046593223,0.0,0.0,0.0,0.0,0.0,0.0,Tiger,2026-02-15T18:23:31.795038
2.7889333,2.8648765,3.0993464,3.1074224,3.0541217,3.0214968,2.8552046,0.23080784,2.6976054,0.54925627,0.14549753,0.27539667,0.20342132,0.102863856,0.105526224,0.050964117,0.08337271,0.122360475,0.0959492,0.056143034,0.12010923,0.12639305,0.13029897,0.0055268207,0.0023371272,0.00036458197,-0.006029007,0.0007336076,-0.028625142,-0.04107776,-0.03951748,-0.030667312,-0.03326117,3.0979092,3.079404,2.9995034,3.0853548,2.5420752,1.0287796,2.4195356,1.3232363,2.3002238,1.9871418,0.26403627,0.40125716,0.19914973,0.16058968,0.13769107,0.03787143,0.27404112,0.18954544,0.15108952,0.11106561,0.202543,0.2212366,0.13777332,0.008995671,0.022222262,-0.023515763,-0.041509293,-0.036831904,-0.018060163,-0.04209069,-0.04336863,-0.03896205,-0.045898207,0.14904852,0.0040914714,0.14655294,0.078599244,0.12663972,-9.965188e-08,Tiger,2026-02-15T18:23:32.026796
2.7857723,2.8485963,3.0705686,3.1159303,3.07083,3.050843,2.9621966,0.1678453,2.7754135,0.33313984,0.14201938,0.27486718,0.26917225,0.11048,0.106021516,0.067608945,0.033424363,0.19417173,0.10243149,0.056611735,0.12444045,0.12862822,0.13351735,0.0010265667,-0.00044821948,-0.0014509532,-0.006054094,0.0015382963,-0.026437053,-0.033032674,-0.036375325,-0.030646762,-0.031422414,3.0719209,3.0890589,3.0108678,3.1052139,2.4073775,1.3743503,2.2644513,1.6865194,2.2291212,2.3261425,0.27138588,0.40948656,0.21047685,0.17562066,0.15385295,0.047286097,0.32990888,0.1728291,0.12294727,0.108678766,0.1997918,0.2184917,0.13899718,0.0022692108,0.0014163572,-0.053284038,-0.06677784,-0.054589354,-0.015497114,-0.042665254,-0.045865178,-0.043624133,-0.052030373,0.15559629,0.009759494,0.2157875,0.0836485,0.13119882,-2.460633e-07,Tiger,2026-02-15T18:23:32.226817
2.8058183,2.8667066,3.0970042,3.1186233,3.0443292,3.0565732,2.8825712,0.20899777,2.7012353,0.50242525,0.147569,0.27780196,0.2530487,0.10438279,0.1017588,0.041416064,0.037550166,0.18948624,0.091807775,0.060905516,0.12197134,0.12831973,0.13050255,0.00522398,6.907643e-05,-0.0017686915,-0.007003751,0.00022610095,-0.02686503,-0.039615106,-0.04130886,-0.032608286,-0.033660308,3.0612552,3.0713916,3.0009139,3.0911305,2.39443,1.3791096,2.3216667,1.6951717,2.3152242,2.34159,0.25902814,0.4060759,0.20456162,0.17566033,0.15135267,0.06473421,0.34705758,0.15508834,0.12994869,0.119638644,0.20181872,0.22314745,0.14853837,1.6080548e-05,0.0100858165,-0.053090062,-0.06627723,-0.053998593,-0.013811042,-0.044218764,-0.046947982,-0.04498568,-0.052805956,0.14900196,0.0052645206,0.20010003,0.0804238,0.12543362,-1.7707694e-07,Tiger,2026-02-15T18:23:32.446710
2.74828,2.9084058,3.0749831,3.1148946,2.9465265,3.0417523,2.7181795,0.39382237,2.6119847,0.6931044,0.13913803,0.2755665,0.1887862,0.109145,0.11389942,0.09820954,0.078359246,0.08116381,0.08973316,0.053618383,0.1239088,0.1274204,0.13777597,-0.0038510154,-0.0007633894,-0.007439631,-0.008008908,-0.0017901234,-0.020488229,-0.026658377,-0.030434057,-0.024991388,-0.028862607,3.1000037,3.0727656,3.0143716,3.1245947,2.4844406,1.175238,2.3091207,1.492729,2.2820702,1.9315553,0.25960085,0.4005065,0.2025605,0.16052888,0.13424113,0.03485738,0.26788798,0.1846565,0.12320132,0.11179824,0.20269716,0.22277206,0.14135313,0.00076230057,0.013664264,-0.030623864,-0.046149265,-0.03848245,-0.014348181,-0.03568123,-0.03840863,-0.035135843,-0.03938952,0.14204465,0.009148832,0.12415118,0.07487401,0.120708585,-1.11644646e-07,Tiger,2026-02-15T18:23:32.689712
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0537293,3.0716615,3.0204272,3.100606,2.4674175,1.2527821,2.1696556,1.7975417,2.1610093,2.2067254,0.24083771,0.40925872,0.20976123,0.17298792,0.1469796,0.098353416,0.28859633,0.21941867,0.09425136,0.10139627,0.20072366,0.21734986,0.17122589,-0.008930311,0.01041481,-0.047384556,-0.06983908,-0.05570736,-0.014861927,-0.040360477,-0.04483767,-0.04466836,-0.048064053,0.0,0.0,0.0,0.0,0.0,0.0,Tiger,2026-02-15T18:23:32.889983
2.7958739,2.9796345,3.0607262,3.1220458,3.0778596,3.0358734,2.8946059,0.23866495,2.7173686,0.44349745,0.1405606,0.28037006,0.26144603,0.107942484,0.105500676,0.1802121,0.031740602,0.171479,0.11882568,0.05774356,0.1229619,0.12807891,0.14430201,-0.010680308,0.005469762,0.0035384363,-0.006827032,0.001979382,-0.033398736,-0.040252995,-0.04113813,-0.03221373,-0.03310062,3.0565379,3.0594158,3.0051036,3.1136076,2.3744388,1.4950916,2.230106,1.9113845,2.2049978,2.5332768,0.2387864,0.40769115,0.20744942,0.17838323,0.15243076,0.100765906,0.33164525,0.15413678,0.09383909,0.11747158,0.20770839,0.22774656,0.17180347,-0.009314791,0.009839788,-0.060002513,-0.074817315,-0.06040578,-0.011853944,-0.038498875,-0.046097472,-0.046410043,-0.0513192,0.15237047,0.0076528452,0.20945548,0.07409102,0.13314384,-2.4110216e-07,Tiger,2026-02-15T18:23:33.118910
2.8190958,2.9454904,3.0614774,3.1215086,3.073489,3.0570047,3.0682583,0.19665316,2.8483322,0.27338728,0.13889645,0.27374718,0.2794672,0.124111734,0.11470938,0.17126992,0.031226631,0.23750725,0.085696496,0.05493285,0.121761456,0.1257588,0.13891472,-0.00856777,0.007483574,0.006165814,-0.00020888135,0.0051950547,-0.029591233,-0.037198387,-0.04192901,-0.03543812,-0.0343741,3.0884204,3.0769353,3.0140054,3.0897903,2.408354,1.1940731,2.1756196,1.5380031,2.0576642,1.8346609,0.24623272,0.40529045,0.19250973,0.1545182,0.122222744,0.064238474,0.2966322,0.15457888,0.095525235,0.10533991,0.20429347,0.22310112,0.16034657,-0.005548153,0.0074867313,-0.04295572,-0.05435967,-0.040790442,-0.015669249,-0.035297073,-0.03942577,-0.03551842,-0.037258655,0.14968212,0.005346363,0.2343349,0.070771575,0.13189435,-1.8388877e-07,Tiger,2026-02-15T18:23:33.342717
2.7973144,2.9133782,3.0887852,3.1289167,3.0484595,3.0648818,2.917273,0.14372577,2.713089,0.44197857,0.13701025,0.27619556,0.27173722,0.11295065,0.10741847,0.13501026,0.03950455,0.2008491,0.096848264,0.060738508,0.122568704,0.12955122,0.14163777,-0.006759105,0.0030189839,0.0038826372,-0.0047744247,0.0033977823,-0.029267965,-0.03735372,-0.03940722,-0.032768507,-0.03200663,3.0650153,3.053758,3.0050714,3.1005242,2.40876,1.3239471,2.1509087,1.7314949,2.057633,2.140361,0.24166586,0.40593725,0.19922937,0.162053,0.13219848,0.115794025,0.2943976,0.17801385,0.100680284,0.11339797,0.20832217,0.22772594,0.168223,-0.0130772395,0.008579765,-0.050256964,-0.066211015,-0.053160544,-0.013457225,-0.03676949,-0.042693075,-0.040505,-0.042618155,0.1496842,0.004975971,0.2212083,0.07048532,0.13204992,-2.1235303e-07,Tiger,2026-02-15T18:23:33.570395
2.7812414,2.899344,3.0881324,3.1186876,3.0495527,3.0485206,2.9467566,0.045803208,2.7126749,0.538037,0.13693681,0.27338538,0.26743534,0.11560716,0.112293966,0.08745771,0.03831536,0.21369909,0.06524034,0.058450487,0.119318545,0.12521636,0.13749312,-0.0012780232,0.0032791838,0.0032273226,-0.001959207,0.002978911,-0.028300796,-0.037453137,-0.04067806,-0.03469673,-0.0366568,3.0039277,3.0174801,3.0130491,3.112848,2.4012415,1.3698044,2.2090511,1.7541745,2.150235,2.240732,0.264161,0.41161078,0.19957228,0.16797747,0.14012489,0.03504743,0.3441922,0.14732346,0.10568584,0.11627803,0.20503794,0.2269741,0.14790188,0.01368849,0.01046999,-0.059694752,-0.07228788,-0.058539815,-0.01870341,-0.042965822,-0.04587014,-0.04181588,-0.04611926,0.15833586,0.0065471875,0.2287764,0.07792777,0.13783145,-2.1492708e-07,Tiger,2026-02-15T18:23:33.806870
